datetime;(('bus_gen', 'storage'), 'flow');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'None'), 'soc_loss');(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-12 20:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;86.11258897827021;0.008199938465550238;28.812114000000008;;0.7875549426872359
2021-12-12 21:00:00;0.0;0.0;0.0;11.098559999999999;18.139209;0.0;1.0;67.96518003980465;0.008168857342833197;11.098559999999992;;0.6118546845124282
2021-12-12 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.95701118246181;0.008168843352006275;0.0;;
2021-12-12 23:00:00;48.096455999999996;48.096455999999996;35.654536;0.0;0.0;1.0;0.0;103.6033783391098;0.00822989499391115;0.0;0.7413131645292119;
2021-12-13 00:00:00;48.096455999999996;48.096455999999996;35.654536;0.0;0.0;1.0;0.0;139.24968444411587;0.008290946531252688;0.0;0.7413131645292119;
2021-12-13 01:00:00;33.63536;33.63536;22.949016;0.0;0.0;1.0;0.0;162.19040949758462;0.008330237181120255;0.0;0.6822884012539185;
2021-12-13 02:00:00;0.0;0.0;0.0;12.62324337995511;19.625302570287808;0.0;1.0;142.5567766901157;0.008296610598243357;12.623243379955113;;0.643212675817104
2021-12-13 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;142.54848007951745;0.008296596388613044;0.0;;
2021-12-13 04:00:00;0.0;0.0;0.0;11.098559999999999;18.139209;0.0;1.0;124.40097448312882;0.008265515100349683;11.098559999999992;;0.6118546845124282
2021-12-13 05:00:00;0.0;0.0;0.0;31.53;41.458797;0.0;1.0;82.93391196802847;0.008194494335726077;31.53;;0.7605141075366949
2021-12-13 06:00:00;0.0;0.0;0.0;31.53;41.458797;0.0;1.0;41.46692047369274;0.008123473692739951;31.53;;0.7605141075366949
2021-12-13 07:00:00;0.0;0.0;0.0;31.53000000000001;41.458797;0.0;1.0;0.0;0.0;31.53000000000001;;0.760514107536695
2021-12-13 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-13 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
