datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-10 14:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;193.53480000000056;0.0;0.716;
2021-12-10 15:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;204.91920000000061;0.0;0.716;
2021-12-10 16:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;216.30360000000067;0.0;0.716;
2021-12-10 17:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;227.68800000000067;0.0;0.716;
2021-12-10 18:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;227.68800000000067;0.0;;
2021-12-10 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;227.68800000000067;0.0;;
2021-12-10 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;227.68800000000067;0.0;;
2021-12-10 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;227.68800000000067;0.0;;
2021-12-10 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;227.68800000000067;0.0;;
2021-12-10 23:00:00;0.0;1.0;1.0;0.0;0.0;28.0;36.876000000000005;0.0;1.0;190.81200000000067;28.0;;0.759301442672741
2021-12-11 00:00:00;0.0;1.0;1.0;0.0;0.0;28.0;36.876000000000005;0.0;1.0;153.93600000000066;28.0;;0.759301442672741
2021-12-11 01:00:00;0.0;1.0;1.0;0.0;0.0;28.0;36.876000000000005;0.0;1.0;117.06000000000066;28.0;;0.759301442672741
2021-12-11 02:00:00;0.0;1.0;1.0;0.0;0.0;28.000000000000085;36.87600000000012;0.0;1.0;80.18400000000054;28.000000000000085;;0.7593014426727409
2021-12-11 03:00:00;0.0;1.0;1.0;0.0;0.0;28.0;36.876000000000005;0.0;1.0;43.308000000000526;28.0;;0.759301442672741
2021-12-11 04:00:00;0.0;1.0;1.0;0.0;0.0;28.0;36.876000000000005;0.0;1.0;6.432000000000514;28.0;;0.759301442672741
2021-12-11 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.432000000000514;0.0;;
2021-12-11 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.432000000000514;0.0;;
2021-12-11 07:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.432000000000514;0.0;;
2021-12-11 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.432000000000514;0.0;;
2021-12-11 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.432000000000514;0.0;;
2021-12-11 10:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;17.816400000000577;0.0;0.716;
2021-12-11 11:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;29.20080000000064;0.0;0.716;
2021-12-11 12:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;40.585200000000704;0.0;0.716;
2021-12-11 13:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;51.96960000000077;0.0;0.716;
2021-12-11 14:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;63.35400000000083;0.0;0.716;
2021-12-11 15:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;74.7384000000009;0.0;0.716;
2021-12-11 16:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;86.1228000000009;0.0;0.716;
2021-12-11 17:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;97.50720000000096;0.0;0.716;
2021-12-11 18:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;108.89160000000103;0.0;0.716;
2021-12-11 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-11 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-11 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-11 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-11 23:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-12 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-12 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-12 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-12 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-12 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;108.89160000000103;0.0;;
2021-12-12 05:00:00;0.0;1.0;1.0;0.0;0.0;28.000000000000085;36.87600000000012;0.0;1.0;72.01560000000092;28.000000000000085;;0.7593014426727409
2021-12-12 06:00:00;0.0;1.0;1.0;0.0;0.0;28.0;36.876000000000005;0.0;1.0;35.139600000000904;28.0;;0.759301442672741
2021-12-12 07:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;35.139600000000904;0.0;;
2021-12-12 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;35.139600000000904;0.0;;
2021-12-12 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;35.139600000000904;0.0;;
2021-12-12 10:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;46.5240000000009;0.0;0.716;
2021-12-12 11:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;57.90840000000097;0.0;0.716;
2021-12-12 12:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;69.29280000000104;0.0;0.716;
2021-12-12 13:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;80.67720000000104;0.0;0.716;
2021-12-12 14:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;92.06160000000104;0.0;0.716;
2021-12-12 15:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;103.4460000000011;0.0;0.716;
2021-12-12 16:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;114.8304000000011;0.0;0.716;
2021-12-12 17:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;126.2148000000011;0.0;0.716;
2021-12-12 18:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;137.5992000000011;0.0;0.716;
2021-12-12 19:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;148.9836000000011;0.0;0.716;
2021-12-12 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;148.9836000000011;0.0;;
2021-12-12 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;148.9836000000011;0.0;;
2021-12-12 22:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;160.3680000000011;0.0;0.716;
2021-12-12 23:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;171.7524000000011;0.0;0.716;
2021-12-13 00:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;183.1368000000011;0.0;0.716;
2021-12-13 01:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;194.5212000000011;0.0;0.716;
2021-12-13 02:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;205.9056000000011;0.0;0.716;
2021-12-13 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;205.9056000000011;0.0;;
2021-12-13 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;205.9056000000011;0.0;;
2021-12-13 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;205.9056000000011;0.0;;
2021-12-13 06:00:00;0.0;1.0;1.0;0.0;0.0;28.000000000000085;36.87600000000012;0.0;1.0;169.02960000000098;28.000000000000085;;0.7593014426727409
2021-12-13 07:00:00;0.0;1.0;1.0;0.0;0.0;28.000000000000085;36.87600000000012;0.0;1.0;132.15360000000086;28.000000000000085;;0.7593014426727409
2021-12-13 08:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;143.53800000000086;0.0;0.716;
2021-12-13 09:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;154.92240000000092;0.0;0.716;
2021-12-13 10:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;166.30680000000092;0.0;0.716;
2021-12-13 11:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;177.69120000000098;0.0;0.716;
2021-12-13 12:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;189.07560000000097;0.0;0.716;
2021-12-13 13:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;200.46000000000097;0.0;0.716;
2021-12-13 14:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;211.84440000000103;0.0;0.716;
2021-12-13 15:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;223.22880000000103;0.0;0.716;
2021-12-13 16:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;234.61320000000103;0.0;0.716;
