datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');(('storage', '1'), 'delta');(('storage', '1'), 'delta_out');(('storage', '2'), 'delta');(('storage', '2'), 'delta_out');(('storage', '3'), 'delta');(('storage', '3'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-10 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-10 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;371.32392503187145;0.0;;
2021-12-10 04:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.43599999999998;105.27999999999997;0.0;1.0;266.0439250318715;93.43599999999998;;0.8875000000000001
2021-12-10 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;266.0439250318715;0.0;;
2021-12-10 06:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.43599999999999;105.28;0.0;1.0;160.76392503187148;93.43599999999998;;0.8875
2021-12-10 07:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.43599999999999;105.28;0.0;1.0;55.48392503187148;93.43599999999998;;0.8875
2021-12-10 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.48392503187148;0.0;;
2021-12-10 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.48392503187148;0.0;;
2021-12-10 10:00:00;33.13963424999997;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;33.13963424999997;25.819518059280433;0.0;0.0;1.0;0.0;81.3034430911519;0.0;0.779112945680155;
2021-12-10 11:00:00;81.671429875;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;81.671429875;66.37274993837677;0.0;0.0;1.0;0.0;147.6761930295287;0.0;0.8126801506960486;
2021-12-10 12:00:00;99.25773499999991;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;99.25773499999991;83.50089480961913;0.0;0.0;1.0;0.0;231.17708783914782;0.0;0.8412532767307173;
2021-12-10 13:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;321.2187878391627;0.0;0.8496624156038943;
2021-12-10 14:00:00;105.97350000001835;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;105.97350000001835;90.04170000001488;0.0;0.0;1.0;0.0;411.2604878391776;0.0;0.8496624156038943;
2021-12-10 15:00:00;100.61046574999995;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;100.61046574999995;84.8183840771543;0.0;0.0;1.0;0.0;496.0788719163319;0.0;0.8430373862686781;
2021-12-10 16:00:00;60.91679925;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;60.91679925;48.33499603965658;0.0;0.0;1.0;0.0;544.4138679559885;0.0;0.793459220358768;
2021-12-10 17:00:00;16.913462374999995;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;16.913462374999995;12.666987354388107;0.0;0.0;1.0;0.0;557.0808553103766;0.0;0.7489292891981327;
2021-12-10 18:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;557.0808553103766;0.0;;
2021-12-10 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;557.0808553103766;0.0;;
2021-12-10 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;557.0808553103766;0.0;;
2021-12-10 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;557.0808553103766;0.0;;
2021-12-10 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;557.0808553103766;0.0;;
2021-12-10 23:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;557.0808553103766;0.0;;
2021-12-11 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;557.0808553103766;0.0;;
2021-12-11 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;557.0808553103766;0.0;;
2021-12-11 02:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.43599999999998;105.27999999999997;0.0;1.0;451.8008553103766;93.43599999999998;;0.8875000000000001
2021-12-11 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;451.8008553103766;0.0;;
2021-12-11 04:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.43599999999998;105.27999999999997;0.0;1.0;346.52085531037665;93.43599999999998;;0.8875000000000001
2021-12-11 05:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.436;105.28;0.0;1.0;241.24085531037665;93.436;;0.8875000000000001
2021-12-11 06:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.436;105.28;0.0;1.0;135.96085531037664;93.436;;0.8875000000000001
2021-12-11 07:00:00;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;93.436;105.28;0.0;1.0;30.680855310376643;93.436;;0.8875000000000001
2021-12-11 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.680855310376643;0.0;;
2021-12-11 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.680855310376643;0.0;;
2021-12-11 10:00:00;20.245659124999975;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;20.245659124999975;15.367983030185316;0.0;0.0;1.0;0.0;46.04883834056196;0.0;0.7590754608334015;
2021-12-11 11:00:00;75.70848725000002;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;75.70848725000002;60.565154516032095;0.0;0.0;1.0;0.0;106.61399285659405;0.0;0.7999784002556738;
